DEPT,NUM,CRN,CRED,CAMPUS,SCHED,CAP,ENROL,Hybrid Course,Remote Synchronous Course,Remote Asynchronous Course,Residential Course
ACCT,2101,22524,3,Georgia Tech-Atlanta *,Lecture*,45,12,1,0,0,0
ACCT,2101,20745,3,Georgia Tech-Atlanta *,Lecture*,45,3,1,0,0,0
ACCT,2101,26106,3,Georgia Tech-Atlanta *,Lecture*,65,13,1,0,0,0
ACCT,2101,26105,3,Georgia Tech-Atlanta *,Lecture*,45,0,0,0,0,1
ACCT,2101,20744,3,Georgia Tech-Atlanta *,Lecture*,45,2,0,0,0,1
ACCT,2102,26145,3,Georgia Tech-Atlanta *,Lecture*,65,22,0,1,0,0
ACCT,2102,22514,3,Georgia Tech-Atlanta *,Lecture*,65,14,0,1,0,0
ACCT,2102,33974,3,Georgia Tech-Atlanta *,Lecture*,65,8,1,0,0,0
AE,1355,30999,3,Georgia Tech-Atlanta *,Lecture*,16,0,1,0,0,0
AE,1355,22273,0,Georgia Tech-Atlanta *,Supervised Laboratory*,16,0,1,0,0,0
AE,1601,28145,1,Georgia Tech-Atlanta *,Supervised Laboratory*,56,3,1,0,0,0
AE,1601,28146,1,Georgia Tech-Atlanta *,Supervised Laboratory*,57,8,1,0,0,0
AE,1601,28147,1,Georgia Tech-Atlanta *,Supervised Laboratory*,48,0,1,0,0,0
AE,2010,26044,4,Georgia Tech-Atlanta *,Lecture*,65,9,1,0,0,0
AE,2010,26046,4,Georgia Tech-Atlanta *,Lecture*,50,4,1,0,0,0
AE,2010,26849,4,GT Lorraine-Undergrad Programs,Lecture*,10,0,0,0,0,0
AE,2010R,30650,0,Georgia Tech-Atlanta *,Recitation*,60,8,1,0,0,0
AE,2010R,30651,0,Georgia Tech-Atlanta *,Recitation*,20,4,1,0,0,0
AE,2011,29289,2,Georgia Tech-Atlanta *,Lecture*,5,0,1,0,0,0
AE,2011,29290,2,Georgia Tech-Atlanta *,Lecture*,5,0,1,0,0,0
AE,2220,20002,3,Georgia Tech-Atlanta *,Lecture*,48,2,1,0,0,0
AE,2220,25491,3,Georgia Tech-Atlanta *,Lecture*,48,7,1,0,0,0
AE,2220,26072,3,GT Lorraine-Undergrad Programs,Lecture*,10,1,0,0,0,0
AE,2220R,30652,0,Georgia Tech-Atlanta *,Recitation*,55,2,1,0,0,0
AE,2220R,30653,0,Georgia Tech-Atlanta *,Recitation*,55,5,1,0,0,0
AE,2221,29291,1,Georgia Tech-Atlanta *,Lecture*,5,0,1,0,0,0
AE,2221,29292,1,Georgia Tech-Atlanta *,Lecture*,5,0,1,0,0,0
AE,2355,31000,3,Georgia Tech-Atlanta *,Lecture*,7,0,1,0,0,0
AE,2355,22274,0,Georgia Tech-Atlanta *,Supervised Laboratory*,7,0,1,0,0,0
AE,2610,30745,1,Georgia Tech-Atlanta *,Breakout*,110,26,1,0,0,0
AE,2610,26054,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,11,1,0,0,0
AE,2610,26055,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,2,1,0,0,0
AE,2610,26056,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,5,1,0,0,0
AE,2610,26057,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,1,1,0,0,0
AE,2610,26058,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,1,1,0,0,0
AE,2610,34141,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,3,1,0,0,0
AE,2610,34142,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,1,1,0,0,0
AE,2610,34143,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,2,1,0,0,0
AE,2610,34144,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,0,1,0,0,0
AE,2610,34145,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,0,1,0,0,0
AE,2611,26074,1,Georgia Tech-Atlanta *,Lecture*,110,26,1,0,0,0
AE,2698,29505,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,30119,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,27579,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,30106,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,30100,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,23252,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,24902,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,22880,12,Georgia Tech-Atlanta *,Directed Study*,25,0,0,0,0,0
AE,2698,30225,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,28543,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,29506,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,24847,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,28577,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,28808,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2698,23235,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,28064,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,29507,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,23064,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,30118,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,27578,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,26009,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,24025,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,29037,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,30107,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,27340,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,30101,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,23558,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,27339,12,Georgia Tech-Atlanta *,Directed Study*,15,0,0,0,0,0
AE,2699,22881,12,Georgia Tech-Atlanta *,Directed Study*,100,0,0,0,0,0
AE,2699,29035,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,28544,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,28292,12,GT Lorraine-Undergrad Programs,Directed Study*,40,0,0,0,0,0
AE,2699,24228,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,29508,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,22828,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,25767,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,23237,12,Georgia Tech-Atlanta *,Directed Study*,30,0,0,0,0,0
AE,2699,24668,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,23725,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,26003,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,28578,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,25844,12,Georgia Tech-Atlanta *,Directed Study*,20,0,0,0,0,0
AE,2699,25694,12,Georgia Tech-Atlanta *,Directed Study*,20,0,0,0,0,0
AE,2699,28809,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,22709,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,2699,25193,12,Georgia Tech-Atlanta *,Directed Study*,20,0,0,0,0,0
AE,2699,24080,12,Georgia Tech-Atlanta *,Directed Study*,10,0,0,0,0,0
AE,3030,26766,4,Georgia Tech-Atlanta *,Lecture*,90,24,1,0,0,0
AE,3030,32692,4,GT Lorraine-Undergrad Programs,Lecture*,10,0,0,0,0,0
AE,3140,26767,3,Georgia Tech-Atlanta *,Lecture*,90,68,0,1,0,0
AE,3140,30714,3,Georgia Tech-Atlanta *,Lecture*,65,21,0,1,0,0
AE,3330,26775,3,Georgia Tech-Atlanta *,Lecture*,90,21,1,0,0,0
AE,3330,26768,3,Georgia Tech-Atlanta *,Lecture*,65,21,1,0,0,0
AE,3330,32693,3,GT Lorraine-Undergrad Programs,Lecture*,10,0,0,0,0,0
AE,3340,27409,2,Georgia Tech-Atlanta *,Lecture*,90,40,1,0,0,0
AE,3355,31017,3,Georgia Tech-Atlanta *,Lecture*,11,1,1,0,0,0
AE,3355,22275,0,Georgia Tech-Atlanta *,Supervised Laboratory*,11,1,1,0,0,0
AE,3530,26770,3,Georgia Tech-Atlanta *,Lecture*,75,6,1,0,0,0
AE,3530,30723,3,Georgia Tech-Atlanta *,Lecture*,85,40,1,0,0,0
AE,3531,27410,3,Georgia Tech-Atlanta *,Lecture*,90,63,1,0,0,0
AE,3610,30749,2,Georgia Tech-Atlanta *,Lecture*,109,85,1,0,0,0
AE,3610,30779,0,Georgia Tech-Atlanta *,Studio*,6,2,1,0,0,0
AE,3610,30780,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,30782,0,Georgia Tech-Atlanta *,Studio*,6,1,1,0,0,0
AE,3610,30783,0,Georgia Tech-Atlanta *,Studio*,6,1,1,0,0,0
AE,3610,30784,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,30785,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,30787,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,30789,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,30790,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34312,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34311,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34309,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34307,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34306,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34302,0,Georgia Tech-Atlanta *,Studio*,6,5,1,0,0,0
AE,3610,34299,0,Georgia Tech-Atlanta *,Studio*,6,6,1,0,0,0
AE,3610,34297,0,Georgia Tech-Atlanta *,Studio*,6,3,1,0,0,0
AE,3610,34295,0,Georgia Tech-Atlanta *,Studio*,6,1,1,0,0,0
AE,4132,33857,3,Georgia Tech-Atlanta *,Lecture*,65,31,0,1,0,0
AE,4220,33867,3,Georgia Tech-Atlanta *,Lecture*,45,0,1,0,0,0
AE,4341,31001,3,Georgia Tech-Atlanta *,Lecture*,55,30,1,0,0,0
AE,4341,27412,0,Georgia Tech-Atlanta *,Supervised Laboratory*,55,30,1,0,0,0
AE,4341,32176,3,Georgia Tech-Atlanta *,Lecture*,10,0,1,0,0,0
AE,4341,32178,0,Georgia Tech-Atlanta *,Supervised Laboratory*,10,0,1,0,0,0
AE,4342,31006,3,Georgia Tech-Atlanta *,Lecture*,55,55,1,0,0,0
AE,4342,27413,0,Georgia Tech-Atlanta *,Supervised Laboratory*,55,55,1,0,0,0
